Date,Start (ET),Visitor/Neutral,Home/Neutral
Wed Nov 13 2019,7:30p,Washington Wizards,Boston Celtics
Wed Nov 13 2019,7:30p,Los Angeles Clippers,Houston Rockets
Wed Nov 13 2019,8:00p,San Antonio Spurs,Minnesota Timberwolves
Wed Nov 13 2019,10:00p,Golden State Warriors,Los Angeles Lakers
Wed Nov 13 2019,10:00p,Toronto Raptors,Portland Trail Blazers
Thu Nov 14 2019,6:00p,Miami Heat,Cleveland Cavaliers
Thu Nov 14 2019,8:00p,Chicago Bulls,Milwaukee Bucks
Thu Nov 14 2019,8:00p,Los Angeles Clippers,New Orleans Pelicans
Thu Nov 14 2019,8:00p,Dallas Mavericks,New York Knicks
Thu Nov 14 2019,9:00p,Atlanta Hawks,Phoenix Suns
Thu Nov 14 2019,10:30p,Brooklyn Nets,Denver Nuggets
Fri Nov 15 2019,7:00p,Detroit Pistons,Charlotte Hornets
Fri Nov 15 2019,7:00p,San Antonio Spurs,Orlando Magic
Fri Nov 15 2019,8:00p,Indiana Pacers,Houston Rockets
Fri Nov 15 2019,8:00p,Utah Jazz,Memphis Grizzlies
Fri Nov 15 2019,8:00p,Washington Wizards,Minnesota Timberwolves
Fri Nov 15 2019,8:00p,Philadelphia 76ers,Oklahoma City Thunder
Fri Nov 15 2019,10:30p,Boston Celtics,Golden State Warriors
Fri Nov 15 2019,10:30p,Sacramento Kings,Los Angeles Lakers
Sat Nov 16 2019,6:00p,Brooklyn Nets,Chicago Bulls
Sat Nov 16 2019,7:00p,Milwaukee Bucks,Indiana Pacers
Sat Nov 16 2019,7:30p,Charlotte Hornets,New York Knicks
Sat Nov 16 2019,8:00p,New Orleans Pelicans,Miami Heat
Sat Nov 16 2019,8:00p,Houston Rockets,Minnesota Timberwolves
Sat Nov 16 2019,8:30p,Toronto Raptors,Dallas Mavericks
Sat Nov 16 2019,8:30p,Portland Trail Blazers,San Antonio Spurs
Sat Nov 16 2019,10:30p,Atlanta Hawks,Los Angeles Clippers
Sun Nov 17 2019,3:00p,Philadelphia 76ers,Cleveland Cavaliers
Sun Nov 17 2019,3:30p,Boston Celtics,Sacramento Kings
Sun Nov 17 2019,6:00p,Denver Nuggets,Memphis Grizzlies
Sun Nov 17 2019,6:00p,Washington Wizards,Orlando Magic
Sun Nov 17 2019,7:00p,Golden State Warriors,New Orleans Pelicans
Sun Nov 17 2019,9:30p,Atlanta Hawks,Los Angeles Lakers
Mon Nov 18 2019,7:00p,Cleveland Cavaliers,New York Knicks
Mon Nov 18 2019,7:30p,Indiana Pacers,Brooklyn Nets
Mon Nov 18 2019,7:30p,Charlotte Hornets,Toronto Raptors
Mon Nov 18 2019,8:00p,Milwaukee Bucks,Chicago Bulls
Mon Nov 18 2019,8:00p,Portland Trail Blazers,Houston Rockets
Mon Nov 18 2019,8:30p,San Antonio Spurs,Dallas Mavericks
Mon Nov 18 2019,9:00p,Boston Celtics,Phoenix Suns
Mon Nov 18 2019,9:00p,Minnesota Timberwolves,Utah Jazz
Mon Nov 18 2019,10:30p,Oklahoma City Thunder,Los Angeles Clippers
Tue Nov 19 2019,8:00p,Golden State Warriors,Memphis Grizzlies
Tue Nov 19 2019,8:00p,Portland Trail Blazers,New Orleans Pelicans
Tue Nov 19 2019,10:00p,Phoenix Suns,Sacramento Kings
Tue Nov 19 2019,10:30p,Oklahoma City Thunder,Los Angeles Lakers
Wed Nov 20 2019,7:00p,New York Knicks,Philadelphia 76ers
Wed Nov 20 2019,7:00p,San Antonio Spurs,Washington Wizards
Wed Nov 20 2019,7:30p,Milwaukee Bucks,Atlanta Hawks
Wed Nov 20 2019,7:30p,Charlotte Hornets,Brooklyn Nets
Wed Nov 20 2019,7:30p,Golden State Warriors,Dallas Mavericks
Wed Nov 20 2019,7:30p,Cleveland Cavaliers,Miami Heat
Wed Nov 20 2019,7:30p,Orlando Magic,Toronto Raptors
Wed Nov 20 2019,8:00p,Detroit Pistons,Chicago Bulls
Wed Nov 20 2019,8:00p,Utah Jazz,Minnesota Timberwolves
Wed Nov 20 2019,9:00p,Houston Rockets,Denver Nuggets
Wed Nov 20 2019,10:00p,Boston Celtics,Los Angeles Clippers
Thu Nov 21 2019,8:00p,Portland Trail Blazers,Milwaukee Bucks
Thu Nov 21 2019,10:30p,New Orleans Pelicans,Phoenix Suns
Fri Nov 22 2019,7:00p,Atlanta Hawks,Detroit Pistons
Fri Nov 22 2019,7:00p,Charlotte Hornets,Washington Wizards
Fri Nov 22 2019,7:30p,Sacramento Kings,Brooklyn Nets
Fri Nov 22 2019,8:00p,Miami Heat,Chicago Bulls
Fri Nov 22 2019,8:00p,Los Angeles Lakers,Oklahoma City Thunder
Fri Nov 22 2019,8:00p,San Antonio Spurs,Philadelphia 76ers
Fri Nov 22 2019,8:30p,Cleveland Cavaliers,Dallas Mavericks
Fri Nov 22 2019,9:00p,Boston Celtics,Denver Nuggets
Fri Nov 22 2019,9:00p,Golden State Warriors,Utah Jazz
Fri Nov 22 2019,10:30p,Houston Rockets,Los Angeles Clippers
Sat Nov 23 2019,5:00p,Phoenix Suns,Minnesota Timberwolves
Sat Nov 23 2019,7:00p,Chicago Bulls,Charlotte Hornets
Sat Nov 23 2019,7:00p,Orlando Magic,Indiana Pacers
Sat Nov 23 2019,7:30p,Toronto Raptors,Atlanta Hawks
Sat Nov 23 2019,7:30p,San Antonio Spurs,New York Knicks
Sat Nov 23 2019,7:30p,Miami Heat,Philadelphia 76ers
Sat Nov 23 2019,8:00p,Portland Trail Blazers,Cleveland Cavaliers
Sat Nov 23 2019,8:00p,Los Angeles Lakers,Memphis Grizzlies
Sat Nov 23 2019,8:30p,Detroit Pistons,Milwaukee Bucks
Sat Nov 23 2019,9:00p,New Orleans Pelicans,Utah Jazz
Sun Nov 24 2019,3:30p,Dallas Mavericks,Houston Rockets
Sun Nov 24 2019,6:00p,Brooklyn Nets,New York Knicks
Sun Nov 24 2019,6:00p,Sacramento Kings,Washington Wizards
Sun Nov 24 2019,8:00p,Phoenix Suns,Denver Nuggets
Sun Nov 24 2019,9:00p,New Orleans Pelicans,Los Angeles Clippers
Mon Nov 25 2019,7:00p,Brooklyn Nets,Cleveland Cavaliers
Mon Nov 25 2019,7:00p,Orlando Magic,Detroit Pistons
Mon Nov 25 2019,7:00p,Memphis Grizzlies,Indiana Pacers
Mon Nov 25 2019,7:30p,Minnesota Timberwolves,Atlanta Hawks
Mon Nov 25 2019,7:30p,Sacramento Kings,Boston Celtics
Mon Nov 25 2019,7:30p,Charlotte Hornets,Miami Heat
Mon Nov 25 2019,7:30p,Philadelphia 76ers,Toronto Raptors
Mon Nov 25 2019,8:00p,Portland Trail Blazers,Chicago Bulls
Mon Nov 25 2019,8:00p,Utah Jazz,Milwaukee Bucks
Mon Nov 25 2019,8:30p,Los Angeles Lakers,San Antonio Spurs
Mon Nov 25 2019,10:30p,Oklahoma City Thunder,Golden State Warriors
Tue Nov 26 2019,8:30p,Los Angeles Clippers,Dallas Mavericks
Tue Nov 26 2019,9:00p,Washington Wizards,Denver Nuggets
Wed Nov 27 2019,7:00p,Brooklyn Nets,Boston Celtics
Wed Nov 27 2019,7:00p,Detroit Pistons,Charlotte Hornets
Wed Nov 27 2019,7:00p,Orlando Magic,Cleveland Cavaliers
Wed Nov 27 2019,7:00p,Utah Jazz,Indiana Pacers
Wed Nov 27 2019,7:00p,Sacramento Kings,Philadelphia 76ers
Wed Nov 27 2019,7:30p,New York Knicks,Toronto Raptors
Wed Nov 27 2019,8:00p,Miami Heat,Houston Rockets
Wed Nov 27 2019,8:00p,Los Angeles Clippers,Memphis Grizzlies
Wed Nov 27 2019,8:00p,Atlanta Hawks,Milwaukee Bucks
Wed Nov 27 2019,8:30p,Minnesota Timberwolves,San Antonio Spurs
Wed Nov 27 2019,9:00p,Washington Wizards,Phoenix Suns
Wed Nov 27 2019,9:30p,Los Angeles Lakers,New Orleans Pelicans
Wed Nov 27 2019,10:00p,Oklahoma City Thunder,Portland Trail Blazers
Wed Nov 27 2019,10:30p,Chicago Bulls,Golden State Warriors
Fri Nov 29 2019,12:00p,Boston Celtics,Brooklyn Nets
Fri Nov 29 2019,7:00p,Charlotte Hornets,Detroit Pistons
Fri Nov 29 2019,7:00p,Toronto Raptors,Orlando Magic
Fri Nov 29 2019,7:30p,Milwaukee Bucks,Cleveland Cavaliers
Fri Nov 29 2019,7:30p,Philadelphia 76ers,New York Knicks
Fri Nov 29 2019,8:00p,Atlanta Hawks,Indiana Pacers
Fri Nov 29 2019,8:00p,Utah Jazz,Memphis Grizzlies
Fri Nov 29 2019,8:00p,Golden State Warriors,Miami Heat
Fri Nov 29 2019,8:00p,New Orleans Pelicans,Oklahoma City Thunder
Fri Nov 29 2019,8:30p,Los Angeles Clippers,San Antonio Spurs
Fri Nov 29 2019,9:00p,Dallas Mavericks,Phoenix Suns
Fri Nov 29 2019,10:00p,Chicago Bulls,Portland Trail Blazers
Fri Nov 29 2019,10:30p,Washington Wizards,Los Angeles Lakers
Sat Nov 30 2019,5:00p,Denver Nuggets,Sacramento Kings
Sat Nov 30 2019,7:00p,Indiana Pacers,Philadelphia 76ers
Sat Nov 30 2019,8:00p,Atlanta Hawks,Houston Rockets
Sat Nov 30 2019,8:00p,Charlotte Hornets,Milwaukee Bucks
